ID	post_title	post_name	year	month	day
2003	Addition and subtraction of any two numbers	addition-and-subtraction-of-any-two-numbers-2	2022	1	7
2990	iPhone 6 - Display Glass  Replacement	iphone-6-display-glass-replacement	2022	1	7
2986	iPhone 6 - Battery and Display Glass Replacement 	iphone-6-battery-and-display-glass-replacement	2022	1	7
2982	iPad 2 - Dead Condition 	ipad-2-dead-condition-3	2022	1	7
2978	 Samsung J7 - less sound in Loud-Speaker	samsung-j7-less-sound-in-loud-speaker	2022	1	7
2974	 Moto G5+ - Display Glass Replacement	moto-g5-display-glass-replacement	2022	1	7
2970	Vivo V17- Charging Port Replacement	vivo-v17-charging-port-replacement	2022	1	6
2966	Samsung M31- Display Combo Replacement	samsung-m31-display-combo-replacement	2022	1	6
2962	Mi 5A - Battery Replacement	mi-5a-battery-replacement	2022	1	6
2958	iPhone 8 - Dead Condition	iphone-8-dead-condition	2022	1	6
2953	iPhone 6s - Display Combo Replacement	iphone-6s-display-combo-replacement-6	2022	1	6
2944	iPad Air - Display Glass Replacement	ipad-air-display-glass-replacement	2022	1	6
2947	Turn on Light with Lemon	turn-on-light-with-lemon	2022	1	6
2943	Sunrise Wake up Alarm	sunrise-wake-up-alarm	2022	1	6
2916	Asus Zenfone Pro Max - Loud Speaker Replacement	asus-zenfone-pro-max-loud-speaker-replacement	2022	1	6
2933	Blink a Light	circuit-that-senses-touch-2	2022	1	6
2930	Circuit that Senses Touch	circuit-that-senses-touch	2022	1	6
2927	Bulb a LED	bulb-a-led	2022	1	6
2924	Create your Own Electromagnet	create-your-own-electromagnet	2022	1	6
2921	Object Detection	object-detection	2022	1	6
2918	Number Plate Detection	number-plate-detection	2022	1	6
2914	Helmet Detection	helmet-detection	2022	1	6
2908	Mask Detection	mask-detection	2022	1	6
2907	Asus 5z - Display Glass Replacement	asus-5z-display-glass-replacement	2022	1	6
2900	Gadgets – Continuity Tester	gadgets-continuity-tester	2022	1	4
2897	Code – Numbers to find Divisible by 4	code-numbers-to-find-divisible-by-4	2022	1	4
2894	Hydroponics	hydroponics	2022	1	4
2891	Common Switch Socket	common-switch-socket	2022	1	4
2888	Charging Station	charging-station	2022	1	4
2885	Batman Wall Decoration	batman-wall-decoration-2	2022	1	4
2882	Tiger Wall Art	tiger-wall-art	2022	1	4
2868	Vivo Y71 - Dead Condition	vivo-y71-dead-condition	2022	1	4
2863	Samsung Galaxy Tab A - Software Services	2863	2022	1	4
2859	Samsung Galaxy M31- Display Combo  Replacement	samsung-galaxy-m31-display-combo-replacement-2	2022	1	4
2855	Redmi Note 5 - Battery Replacement	redmi-note-5-battery-replacement-3	2022	1	4
2851	Redmi 8- Display Combo Replacement	redmi-8-display-combo-replacement-2	2022	1	4
2847	Poco M2- Display Combo Replacement	poco-m2-display-combo-replacement	2022	1	4
2839	Mi Note 5 - Display Combo Replacement	2839	2022	1	4
2835	iPhone XS - Front & Back Camera Not Working	2835	2022	1	4
2831	iPhone 11- Display Glass Replacement	iphone-11-display-glass-replacement	2022	1	4
2827	iPhone 6s - Battery Replacement	iphone-6s-battery-replacement-3	2022	1	4
2824	Phantom Head POC	phantom-head-poc	2022	1	3
2821	Face Mask	face-mask	2022	1	3
2818	SD Card Holder	sd-card-holder	2022	1	3
2815	Face Shield	face-shield	2022	1	3
